headline,source
הממשלה אישרה את הצעת נתניהו להאריך את כהונת נציב שירות המדינה,Haaretz
"קל מאוד לא לחבב את טיילר פריץ, אבל הוא רחוק משחק אחד מלהיות גיבור לאומי",Haaretz
מבוכה לממשלת מלוני: שר הבריאות של איטליה התפטר לאחר שהודה שניהל רומן עם יועצת במשרדו,Haaretz
"דליק ווליניץ ציטט כותרות מ""הארץ"". רדיו דרום הפסיק לשדר את תוכניתו",Haaretz
"ההצגה ""נופל מחוץ לזמן"" ראויה, בעיקר עכשיו, אבל למה היא מוצגת במוזיאון?",Haaretz
"""כל מי שהוא שאל האם להגיע להופיע בפסטיבל ישראל אמר לו 'אל תעז'""",Haaretz
"בג""ץ הורה ללוין לכנס את הוועדה לבחירת שופטים לצורך מינוי נשיא לעליון",Haaretz
דוח חדש קובע: שידורי BBC הראו דפוס מובהק של הטיה נגד ישראל,Haaretz
"שר הביטחון גלנט בעזה: ""נחסל את החמאס ונשיג את החטופים""",IsraelHayom
עופר כסיף רצה לבקר בקריית שמונה - כך השיב לו ראש העיר שטרן,IsraelHayom
נפרדים מהקופסל: אליצור נתניה חונכת אולם חדש,IsraelHayom
האם תיקון טעות בצו הארנונה ייעשה רק לטובת הרשות המקומית ולא לטובת האזרח?,IsraelHayom
'פלסטיק' מיקינתון: איך אפשר להפוך את בעיית יקינתון המים ליתרון?,IsraelHayom
חברת תעופה נוספת מודיעה: נחזור לטוס לישראל,IsraelHayom
"תאונה באזור קפלן בת""א: רוכב אופניים כבן 60 נפגע באורח קשה",IsraelHayom
צפו: אליקו ולירז לוהטים במועדון,IsraelHayom
"מלחמת התודעה – כך פועלת איראן להשפעה על אזרחי ישראל: ""להחליף את ביבי בחטופים""",IsraelHayom
"לוין לאחר פסיקת בג""ץ: אחרים את נשיא העליון שייבחר",IsraelHayom
"הפיגוע במעבר אלנבי: האזהרה שלחיילים במקום ""אין נשקים"" לפני כשבועיים - ותגובת צה""ל",IsraelHayom
יאניק סינר רק חמישי: המרוויחים הגדולים בעולם הטניס ב-2024,IsraelHayom
"ג'ניפר לופז נחשפת: ""פאק איט""",IsraelHayom
"הזמרות הדתיות ועיריית תל אביב הגיעו לפשרה: מופע לנשים בלבד יתקיים ב""מרכז ענב""",IsraelHayom
היסטוריה משפחתית וגורמים גנטיים: כל מה שצריך לדעת על סרטן השחלה,IsraelHayom
9 דברים שהורים למבוגרים מצליחים מאוד עשו כשהם היו ילדים,IsraelHayom
"מחלקת הלוחמים החרדים הראשונה במג""ב סיימה הכשרה: ""מהלך פורץ דרך""",IsraelHayom
נשבר הלב: הסיבה שבגללה נפסלה זוכת מדליית הארד במרתון במשחקים הפראלימפיים,IsraelHayom
"תגובות להחלטת בג""ץ: השר קרעי כינה את ההחלטה ""בלתי חוקית"" - וקרא לאי-ציות",IsraelHayom
"עשבים, פרחים ורחת לוקום: בשמים חדשים בריחות מיוחדים",IsraelHayom
סופיה מצ'טנר בזוגיות חדשה,IsraelHayom
אף פעם לא מאוחר: עובדי אתר הפסולת שהחזירו לתושב את מפתחותיו שנזרקו לפח,IsraelHayom
תזכורת לאיום: דאעש הוציא להורג אזרחים בסוריה ותיעד את המעשה,IsraelHayom
שי לי עופרי נגד ספיר בורגיל,IsraelHayom
"מהפך: לא תאמינו איך כוכב ""חברים"" נראה עכשיו",IsraelHayom
הישראלים כובשים את פסטיבל ונציה,IsraelHayom
"מגיש הטלוויזיה חושף: ""אני עם התקפי חרדה – בדרך לאולפנים עצרתי להקיא שלוש פעמים""",IsraelHayom
"כולם אוהבים אותו: איך הקסם של ""הארי פוטר"" לא פג?",IsraelHayom
"בלי הפסקת המלחמה אף אחד לא יחזור, חוץ ממי שיחזרו בשקית שחורה",Haaretz
לחצות את הקושי: האתגרים המיוחדים של ילדים עם חיך ושפה שסועים,Haaretz
בגץ הורה ללוין: כנס בתוך שבועיים את הוועדה לבחירת שופטים לצורך בחירת נשיא לעליון,Haaretz
"סקר ניו יורק טיימס: דונלד טראמפ מוביל על קמלה האריס באחוז, ונתונים לא מעודדים למועמדת הדמוקרטית",Haaretz
"""נפתח לשעה ביום, זה לא יעשה כסף"": ה""פסטה נאצי"" חוזר עם לזניה. אולי",Haaretz
"שלושה נהרגו בפיגוע ירי במעבר אלנבי, המחבל נורה למוות",Haaretz
מחקר: עקבות דינוזאורים כמעט זהות אותרו בדרום אמריקה ובאפריקה,Haaretz
הגורמים המפתיעים האלה פוגעים לכם ולכן בפוריות,IsraelHayom
"העדות המחרידה להצתת רצת המרתון: ""רצה אליי בצעקות כשהיא נשרפת""",IsraelHayom
"בג""ץ פסק נגד לוין: יש לכנס את הוועדה למינוי שופטים באופן מיידי ולמנות נשיא לעליון",IsraelHayom
שופט שניסה לחטוף נשק וחבר פרלמנט שהבריח רובים: עשרות שנים של מתיחות במעבר אלנבי,IsraelHayom
"האתלט האיראני זכה בזהב, חגג עם תנועת שיסוף ראש - ונפסל מהמשחקים הפראלימפיים",IsraelHayom
"הבר היפני שחיכינו לו נפתח: ""רצינו שהמקום יבעט""",IsraelHayom
"משפחות התצפיתניות שנפלו בנחל עוז עתרו לבג""ץ: דורשות את התיעוד מהמשמרת האחרונה",IsraelHayom
"למה כדאי לשים לב? דו""חות הפנסיה בדרך אליכם עם בשורה משמחת",IsraelHayom
מינקות ועד גיל הזהב: כמה שעות שינה הגוף שלכם דורש?,IsraelHayom
"""ביטלג'וס ביטלג'וס"": אחד מסרטי ההמשך החולניים, המוצדקים והמוצלחים",IsraelHayom
בגיל 91: הכוכבת ההוליוודית היא סוויפטי גאה,IsraelHayom
"נתניהו בישיבת הממשלה: ""יש תפיסה שהדרך הנכונה היא להיכנע לחמאס, זה לא משקף את רוב הציבור""",IsraelHayom
"סכנה מיידית: הפלשתינים ידרשו להצביע באו""ם על לוח זמנים ל""סיום הכיבוש"" עד 20 לחודש",IsraelHayom
"שרת החוץ רמזה שישראל אחראית למות ששת החטופים - מחוקקת בגרמניה תקפה: ""דבריה מבישים""",IsraelHayom
דיווחים ערביים: המחבל שביצע את הפיגוע במעבר אלנבי - בן 39 מדרום ירדן,IsraelHayom
"ירוויח למעלה מכפול: אא""ק אתונה הציעה למכבי חיפה 3.5 מיליון יורו על פרנצדי פיירו",IsraelHayom
"שלושת הנרצחים בפיגוע במעבר אלנבי: יוחנן שחורי, יורי בירנבאום ואדריאן מרסלו פודסמסר",IsraelHayom
עדויות: שוטרים שאלו עצורים מהמחאה אם משלמים להם על ההפגנות,Haaretz
"ביבי המיט על ישראל את האסון הגדול בתולדותיה, אבל הוא לא רוצח ולא בוגד",Haaretz
"אחדות הרקע של יוצאי סיירת מטכ""ל בצמרת היא עול. יש לגוון את השורות",Haaretz
דוח חדש חושף: שידורי BBC הראו דפוס מובהק של הטיה נגד ישראל,Haaretz
לא רק אינסטגרם וטיקטוק: כך תדברו עם הילדים על התנהלות נכונה בוואטסאפ,Haaretz
פיתחתי אובססיה. הייתי שואלת את בן הזוג עליה כל הזמן,Haaretz
המדען שהקריב את גופו למען מדד הכאב של עקיצות חרקים,Haaretz
ليست حماس التي تنهار، بل إسرائيل,Haaretz
נתניהו בביקורת על המפגינים: רוב הישראלים לא נופלים למלכודת של חמאס,Haaretz
חיפשתי את אמא שלי בכל המקומות הלא נכונים,Haaretz
מי תעמוד בדרכה של קנזס סיטי לאליפות שלישית ברציפות: דירוג העוצמה לעונת 2024 ב-NFL,Haaretz
"""בניגוד אלינו, אצל עוברים המוח משתנה ברמה היומית""",Haaretz
לא רק בכריך: 20 דרכים להכין סלט טונה,Haaretz
"על אף הפסימיות, ארה""ב מגבשת הצעה חדשה שמתמקדת באסירים ובנסיגה מעזה",Haaretz
"""מביש ומביך"": ביקורת בגרמניה על דבריה של שרת החוץ על רצח החטופים",IsraelHayom
דיווחים ערביים: המחבל שביצע את הפיגוע במעבר אלנבי - בן 47 מצפון ירדן,IsraelHayom
"אא""ק אתונה הציעה למכבי חיפה 3.5 מיליון יורו על פרנצדי פיירו",IsraelHayom
דיווחים פלשתיניים: חוסל בכיר במערך האזרחי של חמאס,IsraelHayom
"""היא משוגעת"": בכירים בהוליווד יוצאים נגד אנג'לינה ג'ולי",IsraelHayom
"נעים להכיר: הכינויים הרשמיים של מדינות ארה""ב ומקורם",IsraelHayom
שניים מהנרצחים בפיגוע במעבר אלנבי: יוחנן שחורי ויורי בירנבאום,IsraelHayom
רוצים שקט ורוגע בחיים? זה הזמן לקבל את 11 האמיתות האלו,IsraelHayom
הממשלה אישרה: כהונתו של נציב שירות המדינה תוארך בשלושה חודשים,IsraelHayom
"לארצות הברית כדאי מאוד לנצור את הרגע הזה, כי לא בטוח מתי הוא יחזור",IsraelHayom
"תיעוד הפיגוע במעבר אלנבי: ""יש פה מישהו פה עם אקדח שיורה ביהודים""",IsraelHayom
"""הם מקיפים אותי מכל מקום"": האישה ששרדה את טבח 7 באוקטובר חוזרת לרגעים הקשים",IsraelHayom
מג'נגל בין ילדים: אסי עזר החליף חיתול לאריאל – אלכס יצאה מהבית ונכנסה למעלית,IsraelHayom
"עידן הכטב""ם: מאודסה עד שג'עיה - כך רחפנים שינו את שדה הקרב המודרני",IsraelHayom
"הפתרון ""המושלם"" של בכירי מערכת הביטחון: התרעה במקום קבלת אחריות",IsraelHayom
הדרך למדליות: השיטה שמחוללת פלאים עבור הספורטאים הפראלימפיים,IsraelHayom
"נתניהו על הפיגוע במעבר אלנבי: ""רצח נתעב - במזרח התיכון בלי חרב אין נצח""",IsraelHayom
"כאן בילו דניאל פרץ ונועה קירל מיד אחרי הצעת הנישואין: ""השושבין התחיל להתאמן""",IsraelHayom
חשבון נפש: עדן פינס וערן סויסה,IsraelHayom
צפו: בן זיני מטריל דיירים בבניין שלו,IsraelHayom
"""הלב שלי שבור""",IsraelHayom
שילה שלום מחוץ לבית,IsraelHayom
יד ושם של טבח 7 באוקטובר: הממשלה תאשר את התקציב לפרויקט ההנצחה,IsraelHayom
"""ג'יי קיי רולינג היא המורה הכי טובה שהייתה לי"": טירוף המעריצים בכנס ""הארי פוטר""",IsraelHayom
עולה לנו בבריאות: הצעת החוק שהולכת לחייב הצללה במרחב הציבורי,IsraelHayom
"שי עופרי: ""כאב שבחיים לא חוויתי – אין לשניר חלק בגוף שלא נשכתי""",IsraelHayom
הספורטאית האחרונה במשלחת: מקום 6 לטליה אילת בגמר הקיאקים במשחקים הפראלימפים,IsraelHayom
"""לקח לי זמן להבין שהחיים אכזריים"": אחרי ""פחד אלוהים ישמור"", כפיר צפריר מנסה לשחזר את ההצלחה",IsraelHayom
הרוצחת סיגל איצקוביץ כופרת באחריות הפלילית לביצוע הרצח,IsraelHayom
"בניגוד לישראל, חמאס זנח את סוד הכוח שלו",IsraelHayom
חוסל מפקד יחידת הרקטות בגדוד מזרח חאן יונס.של חמאס,IsraelHayom
מזל טלה: ממשברים יכולים ללמוד הרבה | תחזית הורוסקופ ליום ראשון,IsraelHayom
"""גנבו את הבחירות"": אלפים הפגינו ברחבי צרפת נגד המינוי החדש של מקרון לראש ממשלה",Haaretz
"היום בספורט, 8 בספטמבר",Haaretz
צפו: טיסת טורקיש איירליינס נקלעה למזג אוויר חריג - שישה נוסעים נפצעו,IsraelHayom
רוצה את המדליה ה-11: טליה אילת עלתה לגמר הקיאקים במשחקים הפראלימפיים,IsraelHayom
"הטורניר היקר בהיסטוריה: המענקים האסטרונומיים באליפות ארה""ב הפתוחה",IsraelHayom
"אהוד ברק בוועדת ה""חקירה האזרחית"": ""ישראל מדשדשת בלי אסטרטגיה, בלי תכנית פעולה ובלי תקווה""",IsraelHayom
הפגנות למען השבת החטופים יתקיימו הערב ברחבי הארץ,Haaretz
"סרג'יו מנדס, ממבשרי ה""בוסה נובה"", מת בגיל 83",Haaretz
"ראש ה-CIA: מקווים שמתווה לעסקה יאושר בימים הקרובים, זו שאלה של רצון פוליטי",Haaretz
"הפלסטינים: פעילה אמריקאית נורתה למוות ליד שכם, בת 13 נהרגה מאש הצבא במרכז הגדה",Haaretz
אהבות ושקרים: חשף רומן אסור ונורה - אישה פתחה בירי בבית קפה באיסטנבול,IsraelHayom
"משפחות חטופים ימסרו הצהרה מול הקריה: ""להרעיד לנתניהו את הכיסא""",IsraelHayom
"סדרת תקיפות בעזה: צה""ל תקף בית ספר שבו הוקמה מפקדה של חמאס; חוסלו שני מפקדי גדודים של הגא""פ",IsraelHayom
"""כואב לי ששר הספורט לא צלצל אחרי המדליה הראשונה, השנייה, השלישית""",IsraelHayom
"נחשפו ההודעות של פרשן ה-BBC שפוטר בסערה: ""רוצה לראות אותך בביקיני""",IsraelHayom
עם יהלום במשקל 3 קראט ובעיצוב אישי: זהו מחיר טבעת האירוסין של נועה קירל,IsraelHayom
אחרי שביקר את ארגון הטרור - עזתי הותקף על ידי מחבלי חמאס,IsraelHayom
המעצר של החשודה בזריקת חול על השר -כניעה ללא קרב לגחמות של בן גביר,IsraelHayom
נתונים מטורפים: כל המספרים לקראת גמר הנשים באליפות ארצות הברית,IsraelHayom
מה קרה בין טל מורד ורומי פרנקל?,IsraelHayom
"ראש ה-CIA: ""עובדים על הצעה חדשה, זו שאלה של רצון פוליטי""",IsraelHayom
צפו: התגרות מיותרת? ההטרלה של משרד החוץ לאיראן,IsraelHayom
"""לפני 20 שנה הייתי עד להתגלות כאשר סבא שלי הגיע אליי בחלום והפך אותי לבחור מאמין""",IsraelHayom
השחקן והקומיקאי יוסי וידר (״שנות ה-80״) הלך לעולמו בגיל 57,IsraelHayom
"יאיר נתניהו: ""בנט ולפיד לא חיסלו את ראשי חמאס בגלל שיקולים פוליטיים""",IsraelHayom
"""השר הנחה והנה נועה בנווה תרצה"": הסערה סביב מעצר החשודה בזריקת חול על השר בן גביר נמשכת",IsraelHayom
"מפקד משמרות המהפכה: ""ישראל תקפה 14 ספינות שלנו בים האדום ובים התיכון""",IsraelHayom
מה-NBA ליורוליג: ההחתמה הנוצצת של פנאתינייקוס,IsraelHayom
"מצרים מגנה את ישראל בעקבות מות האזרחית האמריקנית בהפגנה בביתא: ""פשע""",IsraelHayom
ניפגש בלוס אנג'לס: אריאל מליאר ואיראן שפיר לא הצליחו להעפיל לגמרים בשחייה ובחתירה,IsraelHayom
אחד העשירים ב-NBA: כמה שווה קווין לאב?,IsraelHayom
היום בו האולימפיאדה והלב של מדינת ישראל דיממו,IsraelHayom
חשד לרצח: גופה של גבר אותרה באזור תעשייה בחולון,IsraelHayom
"פרשת זריקת החול על בן גביר: החשודה עדיין במעצר, לפיד מסתבך בטוויטר",IsraelHayom
הקשר בין מלחמת יום כיפור למלחמת חרבות ברזל: התערוכה שמחברת בין העבר וההווה,IsraelHayom
"בלאט וסורקין יעלו בהיררכיה, לויד ינהיג: הדברים שאפשר ללמוד ממשחקה הראשון של מכבי ת""א",IsraelHayom
נחיתה מוצלחת לחללית סטארליינר של בואינג - ללא האסטרונאוטים,IsraelHayom
"היסטוריה אחרי 70 שנה, אופי ושער ענק: איטליה תגיע למפגש עם ישראל במצב רוח נהדר",IsraelHayom
"""לשים את המדינה מעל למפלגה"": דיק צ'ייני, סגן הנשיא הרפובליקני לשעבר, אמר שיצביע עבור קמלה האריס",IsraelHayom
"בדרך להפתעה? יאניק סינר וטיילור פריץ ייפגשו בגמר אליפות ארה""ב",IsraelHayom
"רצת המרתון שהוצתה תונצח בפריז: ""סיפורה יסייע לשאת את מסר השוויון""",IsraelHayom
עתיד מייקון וסימונס: המסקנות של מכבי תל אביב לאחר ההפסד לאולימפיאקוס,IsraelHayom
"מחצית ראשונה חדשנית, מחצית שנייה מפעם: סיכום ההפסד של נבחרת ישראל לבלגיה",IsraelHayom
"צה""ל תקף מחבלי חמאס במתחם פיקוד ושליטה ששימש בעבר כבית ספר; חיל האוויר פעל בלבנון",IsraelHayom
Truth Social בצרות: חברת המדיה של טראמפ מדווחת על הפסדים של מיליונים,IsraelHayom
"סין סוערת, ישראל מזיעה: סופר-טייפון באסיה וגל חום בארץ | תחזית מזג האוויר",IsraelHayom
נדחה גזר דינו של טראמפ בפרשת דמי השתיקה לכוכבת הפורנו,IsraelHayom
תומך דאעש תכנן פיגוע המוני נגד יהודים בניו יורק ב-7 באוקטובר,IsraelHayom
"""הסלמה דרמטית"": למרות איומי המערב - איראן העבירה לרוסיה מאות טילים בליסטיים",IsraelHayom
"לא מוצאים את החשודה בזריקת חול על השר בן גביר: ""אשמח לדעת איפה הבת שלי""",IsraelHayom
"משפחות החטופים ובכירי רפואה לארגוני הבריאות הבינלאומיים: ""קראו לשחרור של כולם""",IsraelHayom
"""דניאל פרץ ביקש אישור מרוברטו""? הרשת סוערת לאחר אירוסי נועה קירל",IsraelHayom
"בלינקן רומז: ""לא מתכוון להמשיך לכהונה נוספת""",IsraelHayom
מה עשה האקס כשקירל התארסה?,IsraelHayom
"עמי דדאון: ""אולי אלוקים מנסה להגיד לנו שכבר לעולם לא נחזור ל-6.10""",IsraelHayom
"זריקת החול על בן גביר: החשודה תובא לדיון במוצ""ש; האם זעמה: ""מסכן את חייה""",IsraelHayom
"נבחרת ישראל אמנם הפסידה לבלגיה, אבל סיפקה ניצוצות של שינוי מבורך",IsraelHayom
כולל ברכה מבאיירן מינכן: עולם הספורט מגיב לאירוסין של דניאל פרץ ונועה קירל,IsraelHayom
הסלבס מגיבים לאירוסין של קירל,IsraelHayom
"דיווח: פלשתינית בת 13 נורתה למוות בכפר קריות סמוך לשכם; צה""ל: הפרטים בבדיקה",IsraelHayom
המשלחת הישראלית לפריז - הכי מעוטרת מזה 20 שנה,IsraelHayom
על יאכטה בהרצליה: נועה קירל ודניאל פרץ התארסו,IsraelHayom
דיווח: חמאס הוסיף דרישות בנוגע לשחרור אסירים פלשתינים בשלב הראשון של העסקה,IsraelHayom
נועה קירל מאורסת!,IsraelHayom
אחרי שבעה שערי ליגה: הרצף של ארלינג הולאנד נעצר מול יריבה מפתיעה,IsraelHayom
"הרמטכ""ל בגבול הצפון: צה״ל ממוקד בלחימה בחיזבאללה ומתכונן למהלכים התקפיים בשטח",IsraelHayom
מאיה קיי ורומי פרנקל הורידו עוקב,IsraelHayom
דיווח: מכבי תל אביב תשחרר את אחד משחקני הרכש שלה,IsraelHayom
ישמור על המסורת? הכדורסלן האגדי הצטרף לרוקדים עם כוכבים,IsraelHayom
אזרחית אמריקנית נהרגה בהפגנה בביתא; הבית הלבן: פנינו לישראל לקבל עוד מידע,IsraelHayom
עוזר מאמן מהליגה השלישית באנגליה יצטרף לצוות האימון של ריאל מדריד,IsraelHayom
התיעודים מראים: רוסיה מוציאה להורג שבויים אוקראינים,IsraelHayom
חשד להרעלה: פעוט בן שנה וחצי ובת חמש מהיישוב זרזיר שבצפון מתו,IsraelHayom
גאווה ישראלית: עמי דדאון זכה במדליית הארד במשחקים הפראלימפיים,IsraelHayom
אוזבצ'קה: האם נמצאה הגרסה החיפאית לחנן מרגילן?,Haaretz
טירמיסו: גרסה לעצלנים,Haaretz
קרפאתוס: בין קסם אותנטי לפיתוי התיירות,Haaretz
סלט טונה עם צלפים,Haaretz
